level_0,index,timestamp,count,uniques
0.0,0.0,2022-10-31,21,10
1.0,1.0,2022-11-01,1,1
2.0,2.0,2022-11-04,2,1
3.0,3.0,2022-11-06,2,1
4.0,4.0,2022-11-07,2,1
5.0,5.0,2022-11-08,2,1
