level_0,index,timestamp,count,uniques
0,0.0,2022-10-27,1,1
1,1.0,2022-10-28,1,1
2,2.0,2022-10-30,6,1
3,3.0,2022-10-31,13,6
4,4.0,2022-11-01,3,2
5,5.0,2022-11-02,25,6
6,6.0,2022-11-04,8,6
7,7.0,2022-11-06,4,1
8,8.0,2022-11-07,1,1
9,9.0,2022-11-08,17,3
