level_0,index,timestamp,count,uniques
0,0.0,2022-10-31,5,4
1,1.0,2022-11-01,1,1
2,2.0,2022-11-04,2,1
3,3.0,2022-11-07,1,1
4,4.0,2022-11-08,2,1
